0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.011921,0.000000,-0.010066
0.032395,-0.000206,-0.018549
0.054415,-0.000615,-0.020621
0.076356,-0.001067,-0.018549
0.099236,-0.001492,-0.015901
0.122190,-0.001857,-0.016939
0.145667,-0.002254,-0.012169
0.170225,-0.002553,-0.008458
0.195345,-0.002766,-0.003237
0.221028,-0.002849,0.001528
0.246608,-0.002810,0.004707
0.272274,-0.002689,0.006827
0.297986,-0.002513,0.007869
0.323328,-0.002314,0.011050
0.347998,-0.002041,0.012109
0.370937,-0.001764,0.013169
0.392379,-0.001481,0.012641
0.412765,-0.001223,0.014761
0.431088,-0.000953,0.014761
0.447750,-0.000707,0.015820
0.462887,-0.000467,0.014257
0.476511,-0.000273,0.014257
0.488927,-0.000096,0.013727
0.500316,0.000060,0.013727
0.510598,0.000201,0.013727
0.520046,0.000331,0.014257
0.528590,0.000453,0.014787
0.536354,0.000568,0.013726
0.543562,0.000667,0.011645
0.545253,0.000686,0.012175
0.546202,0.000698,-0.042425
0.547439,0.000645,-0.130437
0.547602,0.000624,-0.237176
0.547121,0.000740,-0.345319
0.547043,0.000768,-0.457631
0.546858,0.000859,-0.573750
0.546657,0.000989,-0.690743
0.546434,0.001174,-0.807912
0.546206,0.001412,-0.924517
0.546010,0.001672,-1.041349
0.545781,0.002063,-1.156330
0.545665,0.002328,-1.271386
0.545592,0.002564,-1.370021
0.545584,0.002604,-1.443589
0.545573,0.002686,-1.488121
0.546630,-0.010065,-1.501904
0.548220,-0.033105,-1.497825
0.548677,-0.039365,-1.492030
0.548752,-0.040310,-1.480908
0.550049,-0.054697,-1.473487
0.552177,-0.076501,-1.474017
0.554326,-0.098642,-1.475060
0.556536,-0.121646,-1.479300
0.558597,-0.144111,-1.479830
0.560683,-0.166985,-1.475063
0.562941,-0.190493,-1.468809
0.565452,-0.215027,-1.464144
0.568129,-0.240031,-1.459370
0.570971,-0.265434,-1.456214
0.573920,-0.291060,-1.454623
0.576921,-0.316773,-1.453032
0.579859,-0.341612,-1.454093
0.582610,-0.365077,-1.453035
0.585192,-0.386897,-1.453565
0.587649,-0.407758,-1.451975
0.589914,-0.426732,-1.451445
0.591960,-0.443797,-1.450928
0.593831,-0.459328,-1.451458
0.595504,-0.473284,-1.450928
0.597053,-0.486140,-1.451447
0.598332,-0.496804,-1.452411
0.599598,-0.507451,-1.453470
0.600743,-0.517162,-1.454000
0.601786,-0.526051,-1.455561
0.602725,-0.534167,-1.457681
0.603564,-0.541549,-1.458741
0.603775,-0.543423,-1.462347
0.603882,-0.544408,-1.408276
0.604069,-0.545547,-1.320327
0.604243,-0.546227,-1.210578
0.603871,-0.545240,-1.099015
0.603533,-0.544578,-0.980282
0.603464,-0.544475,-0.865245
